created_at,handle,mined_at,retweet_count,text,tweet_id
Tue Oct 22 04:33:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817993,10286,Congratulations to @JustinTrudeau on a wonderful and hard fought victory. Canada is well served. I look forward to… https://t.co/H3e0DSQgAP,1186500787922448384
Tue Oct 22 00:34:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817994,13491,Thank you Liz. Shows great Republican support! https://t.co/WsuTmv6Tfh,1186440600712814593
Tue Oct 22 00:30:49 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817995,8745,Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG,1186439731237789696
Mon Oct 21 23:06:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817996,10697,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!,1186418453202247684
Mon Oct 21 13:17:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817997,22591,"Doral in Miami would have been the best place to hold the G-7, and free, but too much heat from the Do Nothing Radi… https://t.co/THW5r9YzOG",1186270381491081218
Mon Oct 21 12:31:43 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.817998,23808,"Censure (at least) Corrupt Adam Schiff! After what he got caught doing, any pol who does not so vote cannot be hone… https://t.co/9e3aXSBYYC",1186258762920792065
Mon Oct 21 12:25:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818000,17890,"Great new book by wonderful and very street smart author Dan Bongino, EXONERATED, THE FAILED TAKEDOWN OF PRESIDENT… https://t.co/YcSTyDGgjQ",1186257181689237504
Mon Oct 21 03:54:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818001,13902,https://t.co/oSn6amjZo4,1186128505316229121
Mon Oct 21 02:57:37 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818002,15573,https://t.co/R3Chppjx6S,1186114286642515969
Mon Oct 21 02:53:32 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818003,11619,https://t.co/6sKKniiOfE,1186113259780345857
Mon Oct 21 02:07:51 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818004,15268,A Great Democrat Scam! https://t.co/LbkVT7UvXX,1186101761368571904
Mon Oct 21 02:05:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818005,21857,Adam Schiff is a Corrupt Politician! https://t.co/16aSrqjwu2,1186101103676526592
Mon Oct 21 01:57:10 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818006,8301,Congratulations Barbara! https://t.co/0cYrjL1YOj,1186099074371596288
Mon Oct 21 01:48:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818007,10507,"“To the Democrats, Impeachment is partisan politics dressed up as principle.” @SteveHiltonx @FoxNews",1186096913520693248
Sun Oct 20 22:41:10 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818008,20916,"So interesting that, when I announced Trump National Doral in Miami would be used for the hosting of the G-7, and t… https://t.co/tDDMw6CPOd",1186049749989892105
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818010,18898,"....fiction to Congress and the American People?  I demand his deposition. He is a fraud, just like the Russia Hoax… https://t.co/Hum7mHfNiV",1186035686396321793
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818011,15536,....because their so-called story didn’t come even close to matching up with the exact transcript of the phone call… https://t.co/SUGMgGZeJ3,1186035685163257857
Sun Oct 20 21:45:17 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818012,23525,"This Scam going on right now by the Democrats against the Republican Party, and me, was all about a perfect phone c… https://t.co/nXPfrl25ag",1186035684525727744
Sun Oct 20 20:28:28 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818013,30662,"Pelosi is now leading a delegation of 9, including Corrupt Adam Schiff, to Jordan to check out Syria. She should fi… https://t.co/FBznZni7FF",1186016354572353536
Sun Oct 20 16:29:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818014,13741,https://t.co/dNfXkc8uUG,1185956197624619008
Sun Oct 20 16:29:14 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818015,13819,https://t.co/kNVQf6JdIL,1185956149008490496
Sun Oct 20 15:03:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818016,20478,“The ceasefire is holding up very nicely. There are some minor skirmishes that have ended quickly. New areas being… https://t.co/TzJkyag5JH,1185934502906007552
Sun Oct 20 12:44:26 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818018,19474,The WALL is making a very big difference. Even Dems in area are happy! https://t.co/NDzq2oIsHV,1185899575669919745
Sun Oct 20 03:26:35 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818019,16900,https://t.co/kNVQf6JdIL,1185759188040978432
Sun Oct 20 02:41:53 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818020,37341,"So now Crooked Hillary is at it again! She is calling Congresswoman Tulsi Gabbard “a Russian favorite,” and Jill St… https://t.co/qBeaGRueWS",1185747939257397248
Sun Oct 20 02:03:29 +0000 2019,Donald J. Trump,2019-10-23 14:22:27.818021,21016,Never give up. We are doing GREAT! We are WINNING! https://t.co/MKDn5WStFU,1185738277376184320
